Facility Name,Address,City,State,Zipcode,Lat,Lon
Arkansas Nuclear One,1448 AR-333,Russellville,AR ,72802,35.3106814,-93.233415
Beaver Valley,200 Shippingport Rd,Shippingport,PA ,15001,40.6212301,-80.4274537
Braidwood Generation Station,35100 IL-53,Braceville,IL ,60407,41.242618,-88.2482513
Browns Ferry,Nuclear Plant Rd,Athens,AL ,35611,34.7041925,87.121024
Brunswick,8520 River Rd SE,Southport,NC ,28461,33.9576,-78.031887
Byron Generating Station,4450 N German Church Rd,Byron,IL ,61010,42.0767576,-89.2838189
Callaway,,Portland,MO,65067,38.7605323,-96.3976211
Calvert Cliffs Nuclear Power Plant,1650 Calvert Cliffs Pkwy,Lusby,MD ,20657,38.4313715,-76.4442597
Catawba,4800 Concord Rd,York,SC ,29745,35.0550524,-81.0781745
Clinton Power Station,8401 Power Rd,Clinton,IL ,61727,40.1728474,-88.8357659
Columbia Generating Station,76 N Power Plant Loop,Richland,WA ,99352,46.4716757,-119.3363914
Comanche Peak,6322 FM 56,Glen Rose,TX ,76043,32.2984,-97.7878958
Cooper,72676 648A Ave,Brownville,NE ,68321,40.3622308,-95.6435664
Davis Besse,5501 OH-2,Oak Harbor,OH ,43449,41.5962565,-83.0979277
Diablo Canyon, Diablo Canyon Rd,Avila Beach,CA ,93424,35.2117,-120.8576123
Donald C Cook,1 Cook Pl,Bridgman,MI ,49106,41.9756074,-86.5677048
Dresden Generating Station,6500 N Dresden Rd,Morris,IL ,60450,41.3884775,-88.271923
Edwin I Hatch,11028 Hatch Pkwy N,Baxley,GA ,31513,31.9344494,-82.3626201
Fermi,,Newport,MI ,48166,41.9537627,-83.2947981
Grand Gulf,7003 Bald Hill Rd,Port Gibson,MS ,39150,32.0113897,-91.0511922
H B Robinson,3581 W Entrance Rd,Hartsville,SC ,29550,34.4011102,-80.1619079
Harris,5421 Shearon Harris Rd, New Hill,NC ,27562,35.6329834,-79.0366196
James A Fitzpatrick,348 Lake Rd,Oswego,NY ,13126,43.5203819,-76.4087714
Joseph M Farley,7388 North AL-95,Columbia,AL ,36319,31.2197745,-85.1282153
LaSalle Generating Station,2601 N 21st Rd,Marseilles,IL ,61341,41.2457423,-88.6717698
Limerick,3146 Sanatoga Rd,Pottstown,PA ,19464,40.2254627,-75.5884331
McGuire,13225 McGuire Nuclear Station Rd,Huntersville,NC ,28078,35.4307187,-80.9440775
Millstone,314 Rope Ferry Rd,Waterford,CT ,6385,41.3103638,-72.170232
Monticello,2807 County Rd 75 NE UNIT 1,Monticello,MN ,55362,45.3324406,-93.8501055
Nine Mile Point Nuclear Station,348 Lake Rd,Oswego,NY ,13126,43.5203819,-76.4087714
North Anna,,Mineral,VA,23117,38.0605272,-77.871845
Oconee,7812 Rochester Hwy,Seneca,SC ,29672,34.7912769,-82.8953222
PPL Susquehanna,769 Salem Blvd,Berwick,PA ,18603,41.0894777,-76.1484301
PSEG Hope Creek Generating Station,,Hancocks Bridge,NJ ,8038,39.4662936,-75.6184603
PSEG Salem Generating Station,,Lower Alloways Creek,NJ,,39.463127,-75.618
Palo Verde,5801 S Wintersburg Rd,Tonopah,AZ,85354,33.382619,-112.8631
Peach Bottom,1848 Lay Rd,Delta,PA ,17314,39.7600655,-76.2714798
Perry,10 Center Rd,Perry,OH ,44081,41.7957326,-81.1479491
Point Beach,6610 Nuclear Rd,Two Rivers,WI ,54241,43.5204066,-76.4087695
Prairie Island,1717 Wakonade Dr,Welch,MN ,55089,44.6223855,-92.6432989
Quad Cities Generating Station,22710 206th Ave N,Cordova,IL ,61242,41.7259327,-90.329043
R. E. Ginna Nuclear Power Plant,1503 Lake Rd,Ontario,NY ,14519,43.2775725,-77.3119389
River Bend Station,River Bend St,St Francisville,LA ,70775,30.7578685,-91.3334922
Seabrook,626 Lafayette Rd,Seabrook,NH ,3874,42.8988655,-70.8554219
Sequoyah,2440 Igou Ferry Rd,Soddy-Daisy,TN ,37379,35.2267395,-85.0950934
South Texas Project,12090 FM521,Bay City,TX ,77414,28.7930231,-96.0459556
St Lucie,6501 S Ocean Dr,Jensen Beach,FL ,34957,27.3473075,-80.2474809
Surry,5570 Hog Island Rd,Surry,VA ,23883,37.1655876,-76.7003631
Turkey Point,,Homestead,FL ,33033,25.4344798,-80.3336253
V C Summer,,Jenkinsville,SC ,29065,34.295488,-81.3248348
Vogtle,7821 River Rd,Waynesboro,GA ,30830,33.1363057,-81.7795881
Waterford 3,17265 River Rd,Killona,LA ,70057,29.9960058,-90.4899206
Watts Bar Nuclear Plant,6868 Watts Bar Hwy,Spring City,TN ,37381,35.6015619,-84.7935801
Wolf Creek Generating Station,Wolf Creek Noc,Burlington,KS ,66839,38.2391618,-95.6920337
